id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
4	abundance	-0.9168	0.4866	6	10	15	4	2025	1.75	0.4936
5	accuracy	0.5083	0.3761	5	25	32	5	2023.2	27.8	1.1801
23	artificial intelligence	-0.6504	-0.1458	3	22	27	4	2023.75	12.25	0.9533
25	artificial neural networks	0.5299	-0.0846	5	14	15	2	2017.5	57.5	1.7357
27	artificial neural-networks	0.6704	0.0808	5	14	16	2	2022.5	51.5	2.0818
39	bias	0.3791	0.7286	1	20	23	3	2022.3333	48	2.2727
41	big data	-0.1677	0.5393	5	20	22	2	2021.5	56	1.747
43	biodiversity	-0.24	-0.8216	3	20	29	5	2023	11.6	0.7299
46	biodiversity management	-0.3586	-0.7058	3	14	14	2	2023	9	0.547
49	biological invasions	0.3268	-0.5468	4	7	7	3	2017	26.6667	0.7283
60	bursaphelenchus-xylophilus	0.994	0.1846	2	13	15	2	2025.5	3	0.9391
72	classification	0.2334	0.537	5	36	58	8	2023	29.75	1.2903
73	climate change	-0.4009	0.5267	6	34	39	7	2024	6	0.8308
74	climate surfaces	-0.1658	0.7903	1	13	16	3	2022.6667	12.6667	1.0839
76	climate-change	-0.1077	-0.6588	3	25	33	7	2021.7143	19.5714	1.0537
85	community	0.2488	-1.1035	4	10	10	3	2023	15.6667	1.1485
93	conservation	0.1239	-0.8591	3	17	18	4	2023.25	5.75	0.4071
96	convolutional neural network	0.2137	-0.4075	3	19	19	4	2023	16.25	1.068
97	convolutional neural networks	0.0641	0.8215	1	24	29	5	2021.6	45.6	1.0099
111	data science	-0.3402	0.8062	1	19	22	2	2022.5	20	1.2997
112	deep learning	-0.0668	0.2902	6	65	141	28	2022.8929	20.3571	0.8804
124	distributions	-0.2418	-0.3859	4	16	22	5	2021.2	19.8	1.7052
128	diversity	-0.3265	-0.1777	6	34	50	9	2022.6667	12.2222	0.7526
139	ecology	0.2057	-0.2856	5	20	24	3	2022.6667	42	1.8393
147	environmental monitoring	-0.0257	0.5645	3	13	14	2	2025	2	0.5641
160	explainable ai	-0.5179	-0.4157	4	8	8	2	2025.5	10.5	3.1474
162	extinction risk	0.2808	-0.8016	4	9	10	2	2024.5	3.5	0.4665
169	fish	-0.6265	0.6059	6	6	7	2	2022.5	7	0.5632
178	forest	-0.6486	-0.0198	3	19	20	2	2022	13	0.6935
180	forest health monitoring	1.0351	0.3168	2	11	12	2	2025.5	4	1.2212
182	forests	0.6461	-0.1968	2	15	19	3	2024.3333	22	1.9007
183	framework	-0.4013	-0.5457	3	11	13	2	2020.5	24	0.6535
208	habitat	-0.0116	-1.0211	3	9	9	2	2022	10.5	0.4354
214	habitat suitability modeling	-0.7545	0.0809	6	18	19	3	2025	2	0.5641
216	health	0.6946	0.4258	2	12	12	2	2025	4	1.1282
227	imagery	0.763	0.608	2	15	16	2	2025.5	2	0.6571
229	impact	0.4475	-0.7483	3	12	12	2	2023	11	1.1111
230	impacts	-0.8552	0.2478	6	11	16	3	2024.6667	10.6667	0.9257
231	improve	0.7372	-0.5229	2	10	12	2	2025	3	0.8462
265	machine learning	-0.4091	0.1287	1	30	46	8	2023.75	7.75	0.7492
274	management	-0.6015	0.212	1	16	18	4	2017.75	15.25	0.8262
277	marine	-0.5157	-0.1769	4	4	4	2	2023	11	0.7098
281	maxent	0.7443	0.2693	2	24	28	5	2022.8	24.2	1.2625
291	models	-0.5954	-0.5279	4	13	13	4	2019.75	17	0.9586
298	multilayer perceptron	0.216	-0.088	5	12	13	2	2025	4.5	1.2692
309	nematode	0.9929	0.093	2	13	15	2	2025.5	3	0.9391
314	neural networks	-0.4668	-0.0722	4	5	6	2	2024.5	12	1.4059
315	neural-networks	-0.2299	-0.5647	3	26	37	7	2020.7143	18.1429	1.3565
318	northwestern pacific	-1.0687	0.4656	6	7	10	2	2025	1	0.2821
327	pacific saury	-1.0811	0.3877	6	7	10	2	2025	1	0.2821
330	patterns	0.014	0.9259	1	14	17	2	2023.5	12.5	0.7883
331	performance	0.4399	-0.31	5	41	69	10	2023.8	17	1.1575
336	pine wilt disease	0.9416	-0.1558	2	11	11	2	2025	5	1.4103
339	plant	0.4085	0.5463	2	8	10	2	2021.5	88	0.9023
349	population-genetics	-0.5541	0.7238	6	5	6	2	2021	13	0.6131
350	populations	-0.2593	-1.0565	4	7	7	2	2025.5	6.5	2.0192
353	predict	0.2798	0.9209	1	15	17	2	2021.5	56	2.2287
354	prediction	0.0862	-0.6536	4	36	56	10	2021.7	17.6	1.1759
359	prevalence	0.3554	0.3116	5	13	14	2	2022.5	51	1.9408
363	pseudo-absences	0.3116	-0.2007	1	9	9	2	2024.5	16.5	1.3214
370	random forests	0.5264	0.1696	5	23	29	5	2022.6	46.8	2.7084
374	recognition	0.8711	0.568	2	12	13	2	2022.5	88	1.2036
375	regression	-0.4959	-0.285	4	8	11	3	2024.6667	8.6667	1.041
376	remote sensing	0.2715	0.1411	2	41	58	9	2023.8889	10.3333	1.1337
384	risk-assessment	0.0619	-0.3335	5	10	11	2	2025	3.5	0.9872
396	scale	0.4979	0.5285	2	15	16	3	2021.3333	89.6667	1.7094
400	sdm	-0.0672	-0.0468	1	62	150	34	2022.5588	19.4412	1.0658
401	sea	-0.7347	0.6287	1	5	5	2	2022.5	7	0.4349
403	selection	-0.0449	-1.3431	4	4	4	2	2025	5	1.4103
425	species distribution	-0.6177	0.4137	1	19	25	5	2022.8	11.4	1.5597
431	species richness	-0.487	-0.6968	3	13	14	2	2022	17.5	1.0003
