id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
222	abundance	-0.2766	-0.4644	4	26	35	12	2020.1667	26.3333	0.8374
273	adaptation	0.3707	0.8665	1	21	28	10	2020	17.3	0.8975
298	aedes aegypti	0.374	-0.2959	9	18	40	13	2020.1538	27.9231	1.0078
300	aedes albopictus	0.1896	-0.6323	9	11	27	9	2021.1111	12.7778	0.749
325	africa	-0.545	0.4629	4	32	66	23	2017.4348	19.4348	0.6092
377	agriculture	0.6363	0.2933	8	21	32	9	2018.7778	33.3333	0.9491
497	amazon	-0.0521	0.9001	1	18	26	10	2016.7	34.6	0.4752
530	amphibia	-0.9776	0.2238	1	20	32	9	2016.1111	35.8889	0.6317
531	amphibian	0.1945	0.709	3	20	40	12	2019.5	14.6667	0.7542
536	amphibians	-0.2199	-0.4712	8	33	51	15	2015.2667	60.2667	0.6692
574	andes	-0.1152	0.8369	12	23	40	13	2018.3846	35.3077	0.7898
592	animal movement	0.7451	-0.571	3	13	17	7	2020.1429	10.2857	0.4859
644	anthropogenic disturbance	0.2151	-0.4433	5	15	19	6	2022.5	7.1667	0.4247
696	aquaculture	0.3569	0.3329	7	15	25	10	2021.9	12.6	0.7828
741	arctic	-0.2338	-0.4278	10	9	23	9	2020.4444	21.4444	0.8702
752	area of occupancy	-0.2592	0.8663	1	13	30	10	2021.4	15.4	1.0585
759	area under the curve	-0.1547	-0.6057	2	53	108	35	2016.9429	167.9143	2.5992
771	argentina	0.0476	0.7749	12	17	27	7	2017.2857	21	0.4597
806	artificial intelligence	0.8723	-0.1539	2	22	40	13	2023.2308	16.5385	1.6218
812	artificial neural networks	0.0955	-0.9448	6	22	32	12	2019.3333	46.6667	1.0993
826	asia	-0.4202	-0.5711	5	14	25	8	2021.625	10.25	0.6297
855	assisted migration	0.336	0.0719	14	19	35	10	2021.5	16.8	1.1602
879	atlantic forest	-0.3462	0.6617	1	18	32	9	2018	19.8889	0.4638
900	australia	0.4528	-0.1328	5	28	61	19	2019.5789	21.2105	0.8002
960	background data	-0.0373	-0.9514	6	14	19	7	2018	716	7.677
1044	batrachochytrium dendrobatidis	-0.8477	0.3126	1	13	23	6	2015	27.6667	0.3703
1046	bats	0.5024	-0.2652	5	17	26	9	2019.6667	52.2222	1.0095
1078	bees	0.1554	-0.4828	5	13	17	5	2021	11.4	0.3358
1095	benin	0.5206	0.6686	12	11	23	8	2022.375	13.375	1.521
1136	bias	-0.2946	-0.8016	6	14	18	6	2020.3333	451	7.3727
1149	big data	0.8524	0.0085	2	19	27	9	2023.1111	27.8889	2.1792
1163	bioclimate	-0.4191	0.5343	1	16	28	8	2015.5	46.25	0.7213
1169	bioclimatic	-0.434	0.7928	2	19	27	7	2019.1429	36.7143	0.4012
1177	bioclimatic envelope model	-0.8211	0.2372	4	19	37	11	2014.2727	77.3636	0.9276
1179	bioclimatic factors	-0.7893	0.095	13	18	42	13	2020.6154	14.7692	0.5909
1184	bioclimatic modeling	-0.8015	-0.1351	4	18	37	11	2018.9091	40	1.1716
1191	bioclimatic variables	-0.3642	-0.4828	2	98	268	90	2019.9778	39.3333	1.0746
1201	biodiversity	0.567	0.3004	1	91	213	74	2020.6622	23.8784	0.8105
1205	biodiversity conservation	0.6627	0.2311	3	44	93	36	2022.4722	10.4444	1.0635
1209	biodiversity hotspots	0.3136	0.6783	1	37	64	18	2019.4444	41.6667	1.4157
1214	biodiversity loss	0.7031	0.3533	11	17	21	8	2023.125	15.75	1.2311
1218	biodiversity monitoring	0.5508	-0.5709	5	19	26	7	2019	26.7143	1.1911
1242	biogeography	-0.4216	0.6214	4	100	249	93	2019.5699	21.8172	0.8938
1252	biological control	-0.7763	-0.2569	9	16	40	14	2020.9286	17.5	1.3496
1258	biological invasions	-0.6022	-0.3475	9	181	689	259	2019.5135	35.166	1.0617
1273	biomod2	0.1003	-0.5249	6	52	99	32	2019.5938	114.5	2.5366
1283	biosecurity	-0.562	-0.5884	9	13	26	9	2019	95.6667	1.8177
1289	biotic interactions	-0.5069	-0.216	1	26	43	15	2020.1333	20.8	0.7072
1311	birds	0.4708	0.2382	1	34	59	18	2017.2778	28.0556	0.7952
1329	black sea	-0.5459	-0.5204	8	9	20	6	2022.1667	5	0.5954
1381	boosted regression tree	0.5689	-0.2215	9	23	36	12	2020.9167	21.75	0.8726
1383	boosted regression trees	0.1796	-0.8483	6	41	105	34	2018.1471	60.6765	2.2397
1391	borneo	0.5593	-0.2539	1	13	20	5	2017.8	219	3.7952
1392	borneo carnivore symposium	1.5536	-0.3292	15	7	35	5	2016	6.8	0.1705
1424	brazil	-0.1711	0.7603	1	34	49	13	2016.7692	34.4615	0.5714
1461	brown bear	0.7784	-0.2029	7	15	23	7	2019.2857	42.4286	1.2568
1471	brunei	1.5664	-0.3599	15	7	35	5	2016	6.8	0.1705
1530	caatinga	-0.6995	0.2992	1	22	41	13	2019.6923	16.6154	0.6986
1556	california	-0.558	-0.1625	8	19	34	10	2013.5	99.9	0.4034
1655	carnivore	0.6536	0.1264	1	14	19	6	2017.6667	21.3333	0.4615
1773	cerrado	-0.7521	0.3696	1	15	24	6	2015.3333	53.6667	0.8271
1780	cetacean	0.5312	-0.4449	10	16	25	8	2020.875	25.875	1.6884
1792	chagas disease	-0.8142	-0.4562	8	14	21	8	2019.625	21.5	0.5783
1842	chile	-0.4834	0.7122	1	16	23	6	2019.6667	12.1667	0.4337
1852	china	-0.34	0.5395	13	41	86	32	2018.875	30.75	1.2803
1865	chiroptera	-0.3924	-0.2243	5	25	51	18	2018.0556	33.7778	0.7062
1892	chytridiomycosis	-0.9279	0.1991	1	11	26	7	2015.4286	43	0.6095
1906	circuitscape	0.8219	0.1995	3	16	29	12	2020	13.4167	0.6167
1919	citizen science	0.11	-0.6287	5	68	168	64	2021.5	20.5938	1.0808
1925	citrus	-0.4923	-0.2598	8	7	16	8	2023.125	12.75	1.0563
1939	classification	0.8925	-0.397	2	16	22	8	2019.625	43.125	1.4366
1957	climate	0.4125	0.0913	3	73	154	49	2019.449	23.1429	0.9102
1961	climate change	-0.0444	0.4468	14	366	2602	1027	2021.4206	23.8666	1.1563
1962	climate change adaptation	0.3684	-0.0394	10	12	19	8	2022.5	14.75	1.2118
1967	climate change impact	0.1268	0.2076	6	13	21	8	2023	14.625	1.2348
1973	climate change scenarios	-0.8775	-0.1336	13	19	33	16	2021.75	20.625	0.6874
1980	climate changes	0.5354	0.4488	13	10	17	9	2023	10	0.762
1985	climate envelope	-0.4684	-0.5709	6	23	37	9	2016.5556	20.6667	0.5045
2000	climate niche	-0.8065	-0.031	9	13	20	8	2019.625	13.25	0.7556
2009	climate refugia	0.6209	-0.0004	11	20	30	10	2023.4	5	0.5997
2013	climate scenarios	0.0739	0.6664	3	12	24	10	2024.3	9.3	1.3368
2016	climate suitability	-0.7494	-0.1811	8	18	37	12	2020.1667	26.4167	1.1084
2024	climate warming	-0.5649	0.3331	10	15	27	12	2021.8333	13.25	0.6648
2047	climatic change	0.7146	0.4842	3	16	20	9	2020.2222	10	0.4586
2062	climatic niche	-0.6109	0.5081	8	15	33	11	2016.4545	31.0909	0.59
2077	climatic suitability	-0.7981	0.1883	4	27	51	19	2021.3158	18.0526	0.8054
2088	climex	-0.5301	-0.6319	9	27	81	26	2019.9615	46.6154	1.2972
2110	cmip6	0.4192	-0.3282	6	12	24	11	2023.9091	6.1818	0.929
2171	coi	-0.9835	0.4885	4	14	22	7	2017.1429	17.8571	0.7709
2184	cold-water corals	0.7628	0.1154	11	24	45	14	2019.7143	26	0.8975
2187	coleoptera	0.0264	-0.5515	7	17	25	8	2021.125	15.125	0.9791
2240	community science	-0.194	-0.8646	5	18	31	10	2023.5	10.7	0.9723
2254	competition	-0.4714	-0.162	1	13	18	10	2017.6	35.6	0.8209
2283	connectivity	0.7905	0.0682	3	32	53	19	2019.0526	27.6316	0.7746
2299	conservation	0.3622	0.5191	13	211	836	293	2020.8328	16.2969	0.6719
2312	conservation biogeography	0.4477	-0.2359	5	23	34	10	2014.1	98.7	1.0503
2313	conservation biology	-0.2396	-0.6035	7	22	40	16	2020.625	50.125	1.1522
2327	conservation management	0.4057	-0.3784	10	13	18	6	2021.6667	10.8333	0.512
2338	conservation planning	0.5557	0.0769	1	107	264	86	2019.7791	41.4419	1.2515
2342	conservation priorities	1.2428	-0.2792	15	17	54	11	2018.4545	16.0909	0.6819
2344	conservation prioritization	0.1914	0.8261	3	9	17	5	2020.2	40.8	0.6209
2352	conservation status	0.2591	0.6425	1	11	17	6	2021.1667	16.6667	1.415
2355	conservation strategies	-0.4659	0.8068	13	12	20	8	2023.125	15.5	1.2302
2504	cross-validation	0.2759	-0.8919	3	18	27	9	2018.7778	199.8889	5.431
2519	cryptic species	-0.7369	0.2045	5	15	20	8	2020.75	13.75	0.4548
2578	cutaneous leishmaniasis	-0.0014	0.6693	12	11	16	7	2018.1429	21.1429	0.558
2619	danaus plexippus	0.4365	-0.0754	3	8	16	6	2021.1667	22.3333	0.901
2692	deep learning	0.804	-0.411	2	38	66	28	2022.8929	19.1071	1.2644
2697	deep sea	1.0678	-0.0439	11	14	17	6	2019	46.5	1.2824
2711	deforestation	0.2183	0.8647	1	27	58	20	2019.5	15.45	0.555
2739	dengue	-0.8435	0.4794	3	11	19	8	2020.375	27	1.089
2860	disjunct distribution	-0.7458	0.7665	4	15	20	5	2017.8	23.2	0.6443
2866	dispersal	0.1321	0.7302	3	47	86	21	2017.1905	32.5714	0.7368
2874	dispersal limitation	0.0858	0.7422	2	9	16	5	2019	42.4	1.552
2888	distribution	-0.0433	0.743	12	109	292	114	2019.8246	141.0175	0.6949
2901	distribution model	-0.7757	0.3163	8	27	37	15	2017.6667	30	0.3333
2909	distribution range	-0.2465	0.9171	14	12	19	6	2018.8333	23.6667	0.9042
2916	distribution shifts	-0.4952	-0.3785	9	17	25	6	2019	32	1.0793
2923	disturbance	0.1955	0.5277	2	18	25	8	2020	131.25	8.0436
2928	diva-gis	-0.7068	0.5606	4	12	18	8	2020.125	14.125	0.565
2934	diversity	-0.347	0.7722	4	23	36	11	2022	10.2727	0.7597
2951	domain	-0.765	-0.4887	2	10	23	6	2012.3333	79.5	0.5997
2973	downscaling	0.3249	-0.3572	2	12	22	8	2015.625	85.625	1.474
3045	early detection	-0.9833	-0.2858	9	12	18	6	2018.3333	19.6667	0.4543
3082	ebird	0.7124	-0.4977	2	16	27	9	2022.3333	25	1.5625
3139	ecological modeling	0.3196	0.1051	10	21	33	13	2020	31.6154	1.4
3140	ecological modelling	0.6922	-0.239	10	26	33	11	2018.8182	43	0.5814
3143	ecological niche	-0.6555	0.3516	5	102	252	98	2019.6735	81.0816	1.2469
3149	ecological niche factor analysis	-0.0284	-0.7593	9	12	16	5	2017.4	15.6	0.4352
3203	ecology	-0.4269	0.72	4	49	85	27	2019.963	26	1.1773
3211	ecoregion	0.7697	0.4159	3	11	17	8	2020.125	12.625	0.5663
3231	ecosystem services	0.3677	0.1655	5	15	26	10	2021.2	19.1	0.8818
3251	ecuador	0.0161	-0.5806	2	13	19	6	2017.6667	54.1667	0.6871
3276	egypt	0.7336	0.1641	5	16	25	8	2017.875	74.875	2.1973
3336	endangered	-0.3003	1.0112	14	15	25	8	2021.75	8.125	0.6576
3349	endangered species	0.3084	0.3721	14	81	179	61	2020.623	20.5902	0.9328
3356	endemic	-0.1059	0.8856	14	23	44	15	2018.4	23.0667	0.5088
3371	endemic species	-0.1877	0.8213	6	39	93	34	2021.2941	9.4706	0.5495
3378	endemism	0.2031	0.6505	4	29	43	17	2020.0588	44.6471	0.9923
3391	enfa	-0.4728	-0.4637	2	16	30	9	2013.7778	36.3333	0.5227
3397	enm	-0.1754	0.9087	4	20	32	13	2021.0769	37.3846	2.8326
3399	enmeval	-0.1112	0.7902	3	12	18	6	2022.5	22.5	1.2909
3402	enmtools	-0.8795	0.1418	4	13	21	7	2016	66.7143	2.6305
3404	ensemble	0.5321	-0.0256	2	25	47	16	2021.6875	92.8125	1.3174
3413	ensemble forecasting	0.6893	-0.448	7	10	15	5	2018.4	18.6	0.5083
3422	ensemble model	0.377	0.246	11	51	107	42	2023	11.3095	1.2097
3425	ensemble modeling	0.0199	-0.6731	9	36	77	28	2022.4643	33.7857	2.1091
3426	ensemble modelling	0.7484	-0.2873	11	26	43	19	2020.8421	27.6842	1.329
3427	ensemble models	0.3608	-0.3232	1	14	19	6	2022.8333	12.6667	1.2232
3452	environment	-0.5087	0.7742	2	15	21	7	2019.8571	13	0.469
3482	environmental factor	-0.8053	0.346	9	12	21	9	2022.7778	14.2222	1.027
3483	environmental factors	-0.3576	0.7094	13	29	75	40	2022.05	11.925	1.0126
3502	environmental niche model	-0.633	-0.6885	9	15	24	7	2017.5714	33.7143	0.9686
3503	environmental niche modeling	0.1798	-0.5985	7	14	21	10	2020.8	201.5	1.9595
3505	environmental niche modelling	-0.887	0.4176	4	18	22	7	2015.8571	390.8571	0.6442
3511	environmental predictors	0.4912	-0.0657	11	14	28	10	2022.2	51.4	2.4078
3518	environmental space	-0.5934	-0.5726	8	21	25	5	2015.8	89.4	1.3952
3522	environmental suitability	-0.8417	-0.0247	9	20	39	19	2018.9474	22.8947	0.8129
3528	environmental variable	-0.2278	-0.8501	6	12	20	8	2022.875	9	1.2309
3529	environmental variables	-0.4798	0.4103	13	59	153	56	2021.7679	33.6786	1.4911
3587	essential fish habitat	0.3895	-0.9079	7	10	19	5	2017.6	47.2	1.596
3601	ethiopia	0.4283	0.2832	9	17	31	11	2021.7273	14	0.8954
3642	europe	-0.6312	-0.4727	7	21	48	15	2020	28.4667	1.1
3667	evolution	-0.9173	0.2462	4	13	24	7	2018	17.4286	0.5721
3687	exotic species	-0.6826	-0.6373	5	35	62	18	2016.5	40	0.7828
3693	expert knowledge	-0.462	-0.4944	6	13	20	6	2016	43.3333	0.7601
3714	extent of occurrence	-0.0482	0.9479	1	15	25	8	2021	16.625	0.5669
3719	extinction	-0.1189	0.9221	14	28	49	12	2019.25	104.5	2.8375
3723	extinction risk	0.1238	0.7752	13	17	27	9	2020.2222	26.2222	0.852
3727	extrapolation	0.0047	-0.8227	7	16	29	9	2018.5556	283.4444	3.304
3789	feature selection	-0.0705	-0.6487	2	10	15	6	2021.6667	53.8333	2.7406
3799	felidae	-0.6874	0.5955	14	12	19	6	2021.1667	8.1667	0.3991
3829	field validation	-0.1137	-0.7925	6	13	19	6	2021.8333	55.5	2.1349
3871	fisheries	0.7985	0.1598	2	22	35	12	2022.25	22.6667	1.3762
3872	fisheries management	0.5423	-0.7995	7	14	29	9	2019.3333	32.8889	1.1079
3933	food security	0.3586	-0.0032	2	12	27	9	2021.8889	15.3333	1.0586
3954	forest	0.906	0.2685	2	24	28	6	2019.8333	30.5	1.0158
3961	forest conservation	0.4609	-0.017	10	12	17	7	2023.4286	5.1429	0.4021
3991	forest management	-0.2784	0.5299	10	31	54	18	2020.2778	69.3889	2.3236
4008	forest restoration	0.5287	0.7313	1	18	26	7	2018	21	0.8004
4038	fragmentation	0.6904	0.4152	3	38	64	20	2019.5	20.85	0.6776
4063	freshwater fish	-0.1514	-0.479	5	15	27	9	2018.6667	15.1111	0.4936
4102	fundamental niche	-0.8451	-0.6697	8	14	32	9	2015.2222	126.4444	1.6348
4129	future climate scenarios	-0.7033	-0.2182	8	10	19	8	2023.875	6.875	0.836
4139	future scenarios	-0.9227	0.0988	8	18	28	8	2020.75	30.75	0.9207
4159	gam	-0.1703	-0.786	2	11	19	6	2016.6667	32.3333	0.8682
4167	gap analysis	0.6628	0.3603	1	26	35	13	2020.6923	29.8462	2.0252
4169	garp	-0.8567	0.0399	10	31	79	26	2014.5769	60.4231	0.8691
4183	gbif	-0.2213	-0.661	5	21	41	15	2021.8	17.7333	1.0124
4222	generalized additive model	0.4907	-0.5696	10	19	43	14	2020.1429	26.3571	0.8317
4225	generalized additive models	0.3252	-0.8297	7	17	33	8	2017.5	44.875	1.2752
4235	generalized linear model	0.1294	-0.7851	6	13	30	10	2020.1	21.5	0.7925
4239	generalized linear models	0.042	-0.9511	6	11	18	6	2015.6667	75.8333	0.9969
4251	genetic diversity	-0.3451	0.8813	4	28	64	24	2021.7917	10.8333	0.4988
4258	genetic structure	-0.6413	0.7187	4	10	25	9	2022	7.2222	0.3609
4279	geographic distribution	-0.1607	0.6372	5	26	65	23	2020.6957	20.6087	0.9695
4283	geographic information system	0.6441	-0.1745	2	19	30	11	2019.8182	11.2727	0.5597
4302	geographical distribution	0.174	0.4165	9	21	41	17	2019.9412	25.4706	1.1244
4309	geographical information system	-0.3817	-0.6376	8	13	20	8	2016	22.5	0.4238
4361	gis	0.2139	0.3594	3	65	150	64	2018.8281	49.9375	1.3735
4373	glacial refugia	-0.7401	0.6475	4	20	37	12	2018.8333	24.5	0.702
4380	glm	-0.2596	-0.8174	6	32	54	14	2015.9286	63.5	1.2979
4384	global biodiversity information facility	0.1806	0.1885	5	8	14	5	2019	21.8	0.8331
4388	global change	-0.5659	0.3951	3	30	55	21	2021	29	1.1267
4392	global climate change	-0.705	0.1236	9	19	40	20	2021.35	30.2	1.2728
4411	global warming	-0.6546	0.2342	1	72	176	67	2021.3433	19.4478	1.1545
4445	google earth engine	0.8089	-0.0206	2	18	23	7	2024.2857	8	1.5008
4480	grassland	0.4085	0.3389	13	10	15	7	2021.7143	5.5714	0.2884
4582	habitat	0.596	0.4744	2	63	137	50	2020.32	19.14	0.6449
4607	habitat distribution	0.4171	0.6612	11	22	48	17	2021.3529	20.4118	1.227
4615	habitat fragmentation	0.5619	0.5896	2	29	62	22	2021.1818	21.5909	0.967
4625	habitat loss	0.2815	0.7244	14	34	73	27	2021.8148	11.963	0.779
4630	habitat mapping	0.8551	-0.2877	11	20	31	12	2019.0833	17.3333	0.6551
4632	habitat model	-0.1327	-0.8591	7	15	33	13	2017.4615	36.6923	0.8672
4633	habitat modeling	-0.4893	-0.5334	6	17	31	15	2019.8	34.9333	1.0088
4634	habitat modelling	0.5979	-0.5668	7	22	31	17	2017.6471	26.5294	1.0647
4657	habitat selection	0.2092	-0.5732	7	23	40	16	2019.0625	21.3125	0.4975
4659	habitat shift	-0.0755	1.0064	3	13	20	7	2022.1429	22.8571	1.4724
4668	habitat suitability index	1.3977	-0.2675	15	13	44	9	2019.2222	9.5556	0.4048
4673	habitat suitability model	0.5834	-0.1719	3	49	91	42	2020.9762	19.8333	0.7338
4675	habitat suitability modeling	0.7202	-0.1258	11	56	96	45	2021.8889	16.3778	1.0522
4676	habitat suitability modelling	0.848	0.1032	11	43	69	27	2020.2222	29.6667	0.9629
4678	habitat suitability models	0.2982	-0.5479	11	57	92	33	2019.1212	51.7273	1.6256
4690	habitat use	0.8215	-0.2472	3	18	23	8	2020.25	4.75	0.2452
4838	himalaya	0.2536	0.9193	14	20	34	11	2020.9091	17.3636	0.8836
4853	himalayas	0.5712	0.1742	11	13	22	8	2021.875	9	0.5183
4872	historical demography	-0.6541	0.6883	4	12	16	7	2018.8571	20.8571	0.6317
4938	human disturbance	0.2374	0.4599	1	9	16	7	2021.5714	13.4286	1.2535
4940	human footprint	-0.2034	-0.516	12	19	26	8	2021	16.375	0.6268
4944	human impact	0.7562	0.3514	11	16	22	7	2021	16	0.8696
4970	human-wildlife conflict	0.7482	-0.0164	7	12	22	10	2019.5	21.1	0.7328
5001	hybridization	-0.936	-0.0559	1	10	16	8	2018	39.75	1.0631
5049	iberian peninsula	-0.412	-0.6059	2	18	27	9	2015.3333	45.5556	0.5967
5101	inaturalist	-0.3809	-0.8637	5	19	35	10	2023.8	15.1	1.4565
5117	india	-0.2426	0.6206	12	24	33	10	2022.7	5	0.5896
