id	label	description	url	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>	weight<Norm. citations>	score<Pub. year>	score<Citations>	score<Norm. citations>
1	richmond (2010)	"<table><tr><td>Authors:</td><td>richmond, orien m. w.; mcentee, jay p.; hijmans, robert j.; brashares, justin s.</td></tr><tr><td>Title:</td><td>is the climate right for pleistocene rewilding? using species distribution models to extrapolate climatic suitability for mammals across continents</td></tr><tr><td>Source:</td><td>plos one, 5(9)</td></tr><tr><td>Year:</td><td>2010</td></tr></table>"	https://doi.org/10.1371/journal.pone.0012899	-0.8391	-0.5843	1	338	2301	42	0.6	2010	42	0.6
2	roedder (2010)	"<table><tr><td>Authors:</td><td>roedder, dennis; loetters, stefan</td></tr><tr><td>Title:</td><td>explanative power of variables used in species distribution modelling: an issue of general model transferability or niche shift in the invasive greenhouse frog (eleutherodactylus planirostris)</td></tr><tr><td>Source:</td><td>naturwissenschaften, 97(9), 781-796</td></tr><tr><td>Year:</td><td>2010</td></tr></table>"	https://doi.org/10.1007/s00114-010-0694-7	-0.8835	-0.5868	1	337	2441	56	0.8	2010	56	0.8
3	mateo (2010)	"<table><tr><td>Authors:</td><td>mateo, ruben g.; croat, thomas b.; felicisimo, angel m.; munoz, jesus</td></tr><tr><td>Title:</td><td>profile or group discriminative techniques? generating reliable species distribution models using pseudo-absences and target-group absences from natural history collections</td></tr><tr><td>Source:</td><td>diversity and distributions, 16(1), 84-94</td></tr><tr><td>Year:</td><td>2010</td></tr></table>"	https://doi.org/10.1111/j.1472-4642.2009.00617.x	-0.9132	-0.4501	1	339	2595	142	2.0286	2010	142	2.0286
4	wolmarans (2010)	"<table><tr><td>Authors:</td><td>wolmarans, rene; robertson, mark p.; van rensburg, berndt j.</td></tr><tr><td>Title:</td><td>predicting invasive alien plant distributions: how geographical bias in occurrence records influences model performance</td></tr><tr><td>Source:</td><td>journal of biogeography, 37(9), 1797-1810</td></tr><tr><td>Year:</td><td>2010</td></tr></table>"	https://doi.org/10.1111/j.1365-2699.2010.02325.x	-0.9077	-0.3609	1	338	2313	40	0.5714	2010	40	0.5714
5	capinha (2009)	"<table><tr><td>Authors:</td><td>capinha, cesar; gomes, eduardo; reis, eusebio; rocha, jorge; sousa, carla a.; do rosario, v. e.; almeida, a. paulo</td></tr><tr><td>Title:</td><td>present habitat suitability for anopheles atroparvus (diptera, culicidae) and its coincidence with former malaria areas in mainland portugal</td></tr><tr><td>Source:</td><td>geospatial health, 3(2), 177-187</td></tr><tr><td>Year:</td><td>2009</td></tr></table>"	https://doi.org/10.4081/gh.2009.219	-1.0181	-0.0047	1	323	901	25	1	2009	25	1
6	d'elia (2015)	"<table><tr><td>Authors:</td><td>d'elia, jesse; haig, susan m.; johnson, matthew; marcot, bruce g.; young, richard</td></tr><tr><td>Title:</td><td>activity-specific ecological niche models for planning reintroductions of california condors (gymnogyps californianus)</td></tr><tr><td>Source:</td><td>biological conservation, 184, 90-99</td></tr><tr><td>Year:</td><td>2015</td></tr></table>"	https://doi.org/10.1016/j.biocon.2015.01.002	-0.0619	-0.8207	1	342	2501	47	0.9938	2015	47	0.9938
7	gaikwad (2011)	"<table><tr><td>Authors:</td><td>gaikwad, jitendra; wilson, peter d.; ranganathan, shoba</td></tr><tr><td>Title:</td><td>ecological niche modeling of customary medicinal plant species used by australian aborigines to identify species-rich and culturally valuable areas for conservation</td></tr><tr><td>Source:</td><td>ecological modelling, 222(18), 3437-3443</td></tr><tr><td>Year:</td><td>2011</td></tr></table>"	https://doi.org/10.1016/j.ecolmodel.2011.07.005	-0.8437	-0.1496	1	343	2237	32	0.4444	2011	32	0.4444
8	groff (2014)	"<table><tr><td>Authors:</td><td>groff, luke a.; marks, sharyn b.; hayes, marc p.</td></tr><tr><td>Title:</td><td>using ecological niche models to direct rare amphibian surveys: a case study using the oregon spotted frog (rana pretiosa)</td></tr><tr><td>Source:</td><td>herpetological conservation and biology, 9(2), 354-368</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"		-0.5041	-0.7777	1	339	2523	33	0.162	2014	33	0.162
9	aguirre-gutierrez (2013)	"<table><tr><td>Authors:</td><td>aguirre-gutierrez, jesus; carvalheiro, luisa g.; polce, chiara; van loon, e. emiel; raes, niels; reemer, menno; biesmeijer, jacobus c.</td></tr><tr><td>Title:</td><td>fit-for-purpose: species distribution model performance depends on evaluation criteria - dutch hoverflies as a case study</td></tr><tr><td>Source:</td><td>plos one, 8(5)</td></tr><tr><td>Year:</td><td>2013</td></tr></table>"	https://doi.org/10.1371/journal.pone.0063708	-0.7313	-0.0048	1	343	2558	181	0.8509	2013	181	0.8509
10	vessella (2013)	"<table><tr><td>Authors:</td><td>vessella, federico; schirone, bartolomeo</td></tr><tr><td>Title:</td><td>predicting potential distribution of quercus suber in italy based on ecological niche models: conservation insights and reforestation involvements</td></tr><tr><td>Source:</td><td>forest ecology and management, 304, 150-161</td></tr><tr><td>Year:</td><td>2013</td></tr></table>"	https://doi.org/10.1016/j.foreco.2013.05.006	-0.8404	-0.1906	1	338	2219	57	0.2679	2013	57	0.2679
11	muscarella (2014)	"<table><tr><td>Authors:</td><td>muscarella, robert; galante, peter j.; soley-guardia, mariano; boria, robert a.; kass, jamie m.; uriarte, maria; anderson, robert p.</td></tr><tr><td>Title:</td><td>enmeval: an r package for conducting spatially independent evaluations and estimating optimal model complexity for maxent ecological niche models</td></tr><tr><td>Source:</td><td>methods in ecology and evolution, 5(11), 1198-1205</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.1111/2041-210x.12261	0.4164	-0.8886	2	338	2887	1826	8.9613	2014	1826	8.9613
12	fitzpatrick (2013)	"<table><tr><td>Authors:</td><td>fitzpatrick, matthew c.; gotelli, nicholas j.; ellison, aaron m.</td></tr><tr><td>Title:</td><td>maxent versus maxlike: empirical comparisons with ant species distributions</td></tr><tr><td>Source:</td><td>ecosphere, 4(5)</td></tr><tr><td>Year:</td><td>2013</td></tr></table>"	https://doi.org/10.1890/es13-00066.1	-0.1408	-0.9233	1	341	2800	158	0.7427	2013	158	0.7427
13	reiss (2011)	"<table><tr><td>Authors:</td><td>reiss, henning; cunze, sarah; koenig, konstantin; neumann, hermann; kroencke, ingrid</td></tr><tr><td>Title:</td><td>species distribution modelling of marine benthos: a north sea case study</td></tr><tr><td>Source:</td><td>marine ecology progress series, 442, 71-86</td></tr><tr><td>Year:</td><td>2011</td></tr></table>"	https://doi.org/10.3354/meps09391	-0.9316	0.0433	1	344	2245	187	2.5972	2011	187	2.5972
14	liu (2014)	"<table><tr><td>Authors:</td><td>liu, shuyan; liang, xin-zhong; gao, wei; stohlgren, thomas j.</td></tr><tr><td>Title:</td><td>regional climate model downscaling may improve the prediction of alien plant species distributions</td></tr><tr><td>Source:</td><td>frontiers of earth science, 8(4), 457-471</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.1007/s11707-014-0457-4	-0.8556	0.1571	1	341	2119	9	0.0442	2014	9	0.0442
15	mcquillan (2015)	"<table><tr><td>Authors:</td><td>mcquillan, michael a.; rice, amber m.</td></tr><tr><td>Title:</td><td>differential effects of climate and species interactions on range limits at a hybrid zone: potential direct and indirect impacts of climate change</td></tr><tr><td>Source:</td><td>ecology and evolution, 5(21), 5120-5137</td></tr><tr><td>Year:</td><td>2015</td></tr></table>"	https://doi.org/10.1002/ece3.1774	-0.279	-0.3208	1	340	2261	64	1.3532	2015	64	1.3532
16	gould (2014)	"<table><tr><td>Authors:</td><td>gould, susan f.; beeton, nicholas j.; harris, rebecca m. b.; hutchinson, michael f.; lechner, alex m.; porfirio, luciana l.; mackey, brendan g.</td></tr><tr><td>Title:</td><td>a tool for simulating and communicating uncertainty when modelling species distributions under future climates</td></tr><tr><td>Source:</td><td>ecology and evolution, 4(24), 4798-4811</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.1002/ece3.1319	-0.4946	-0.1351	1	344	3119	38	0.1865	2014	38	0.1865
17	moreno-amat (2015)	"<table><tr><td>Authors:</td><td>moreno-amat, elena; mateo, ruben g.; nieto-lugilde, diego; morueta-holme, naia; svenning, jens-christian; garcia-amorena, ignacio</td></tr><tr><td>Title:</td><td>impact of model complexity on cross-temporal transferability in maxent species distribution models: an assessment using paleobotanical data</td></tr><tr><td>Source:</td><td>ecological modelling, 312, 308-317</td></tr><tr><td>Year:</td><td>2015</td></tr></table>"	https://doi.org/10.1016/j.ecolmodel.2015.05.035	0.2834	-0.7037	2	342	2803	167	3.5311	2015	167	3.5311
18	carvalho (2015)	"<table><tr><td>Authors:</td><td>carvalho, bruno m.; rangel, elizabeth f.; ready, paul d.; vale, mariana m.</td></tr><tr><td>Title:</td><td>ecological niche modelling predicts southward expansion of lutzomyia (nyssomyia) flaviscutellata (diptera: psychodidae: phlebotominae), vector of leishmania (leishmania) amazonensis in south america, under climate change</td></tr><tr><td>Source:</td><td>plos one, 10(11)</td></tr><tr><td>Year:</td><td>2015</td></tr></table>"	https://doi.org/10.1371/journal.pone.0143282	-0.7568	0.395	1	343	2169	73	1.5435	2015	73	1.5435
