id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>
1172	"[anonymous], 2001, mach learn, doi 10.1023/a:1010933404324"	0.4384	0.9392	2	234	1545	127
3152	"[anonymous], 2017, r: a language and environment for statistical computing"	0.0315	-0.0948	4	250	1126	75
3210	"[anonymous], 2018, evol appl"	-0.5933	0.4602	1	260	1497	115
3488	"[anonymous], 2020, r: a language and environment for statistical computing"	-0.7078	0.5379	1	263	1530	106
3644	"[anonymous], 2022, r: a language and environment for statistical computing"	-0.6177	0.1642	1	256	1080	81
3710	"[anonymous], 2023, r foundation for statistical computing"	-1.0081	0.1753	1	257	1492	105
7147	"[anonymous], thesis"	0.9323	0.188	2	241	1788	138
8791	"abdelaal m, 2019, ecol inform, v50, p68, doi 10.1016/j.ecoinf.2019.01.003"	-0.772	-0.5436	3	244	1305	90
9698	"adhikari d, 2012, ecol eng, v40, p37, doi 10.1016/j.ecoleng.2011.12.004"	0.0417	-0.9147	3	230	1152	81
10593	"aiello-lammens me, 2015, ecography, v38, p541, doi 10.1111/ecog.01132"	-0.8723	-0.122	1	297	6774	413
10714	"akaike h, 1974, ieee t automat contr, vac19, p716, doi 10.1109/tac.1974.1100705"	0.1244	0.257	2	267	1372	75
12085	"allouche o, 2006, j appl ecol, v43, p1223, doi 10.1111/j.1365-2664.2006.01214.x"	-0.303	0.3471	1	299	15155	999
13383	"anderson rp, 2003, ecol model, v162, p211, doi 10.1016/s0304-3800(02)00349-6"	0.7591	-0.2889	2	289	3252	202
13388	"anderson rp, 2010, j biogeogr, v37, p1378, doi 10.1111/j.1365-2699.2010.02290.x"	0.1521	-0.5395	4	288	3031	155
13389	"anderson rp, 2011, ecol model, v222, p2796, doi 10.1016/j.ecolmodel.2011.04.011"	-0.0446	-0.2223	1	293	3702	197
13392	"anderson rp, 2013, ann ny acad sci, v1297, p8, doi 10.1111/nyas.12264"	-0.1094	-0.7855	4	242	1263	65
14379	"araújo mb, 2005, ecography, v28, p693, doi 10.1111/j.2005.0906-7590.04253.x"	0.5379	-0.3595	4	274	1676	78
14380	"araújo mb, 2005, global change biol, v11, p1504, doi 10.1111/j.1365-2486.2005.01000.x"	0.3357	0.3263	2	298	4250	244
14383	"araújo mb, 2006, j biogeogr, v33, p1677, doi 10.1111/j.1365-2699.2006.01584.x"	0.3653	0.2431	2	299	6025	329
14384	"araújo mb, 2006, j biogeogr, v33, p1712, doi 10.1111/j.1365-2699.2006.01482.x"	0.5388	-0.4317	4	261	1273	70
14386	"araújo mb, 2007, global ecol biogeogr, v16, p743, doi 10.1111/j.1466-8238.2007.00359.x"	0.5161	-0.0544	2	282	1901	108
14387	"araújo mb, 2007, trends ecol evol, v22, p42, doi 10.1016/j.tree.2006.09.010"	-0.0227	0.6411	2	298	7373	432
14391	"araújo mb, 2011, ecol lett, v14, p484, doi 10.1111/j.1461-0248.2011.01610.x"	-0.1221	-0.4156	3	258	1312	78
14392	"araújo mb, 2012, ecology, v93, p1527, doi 10.1890/11-1930.1"	0.1403	0.1391	2	288	2442	133
14395	"araújo mb, 2019, sci adv, v5, doi 10.1126/sciadv.aat4858"	-0.8422	0.3253	1	287	2517	140
15701	"assis j, 2018, global ecol biogeogr, v27, p277, doi 10.1111/geb.12693"	-0.6881	0.2394	1	233	1259	79
16175	"austin m, 2007, ecol model, v200, p1, doi 10.1016/j.ecolmodel.2006.07.005"	0.4867	0.5712	2	292	3263	196
16201	"austin mp, 2002, ecol model, v157, p101, doi 10.1016/s0304-3800(02)00205-3"	0.6522	0.4339	2	295	3392	187
16206	"austin mp, 2011, j biogeogr, v38, p1, doi 10.1111/j.1365-2699.2010.02416.x"	-0.2003	0.1343	1	294	2267	113
17696	"baldwin ra, 2009, entropy, v11, p854, doi 10.3390/e11040854"	0.2084	-0.6646	3	293	3037	212
18423	"barbet-massin m, 2012, methods ecol evol, v3, p327, doi 10.1111/j.2041-210x.2011.00172.x"	-0.3429	0.6203	1	299	7239	438
19152	"barry s, 2006, j appl ecol, v43, p413, doi 10.1111/j.1365-2664.2006.01136.x"	0.7362	0.5751	2	256	1506	72
19341	"barve n, 2011, ecol model, v222, p1810, doi 10.1016/j.ecolmodel.2011.02.011"	-0.1224	-0.554	1	299	6792	376
20122	"bean wt, 2012, ecography, v35, p250, doi 10.1111/j.1600-0587.2011.06545.x"	0.2276	0.6116	2	261	1547	79
20242	"beaumont lj, 2005, ecol model, v186, p250, doi 10.1016/j.ecolmodel.2005.01.030"	0.5702	-0.6515	4	269	1691	97
20246	"beaumont lj, 2009, divers distrib, v15, p409, doi 10.1111/j.1472-4642.2008.00547.x"	0.8942	-0.5782	4	243	1237	61
20354	"beck j, 2014, ecol inform, v19, p10, doi 10.1016/j.ecoinf.2013.11.002"	-0.399	0.4997	1	266	1537	80
20990	"bellard c, 2012, ecol lett, v15, p365, doi 10.1111/j.1461-0248.2011.01736.x"	-0.5637	-0.484	3	285	2891	181
25140	"booth th, 2014, divers distrib, v20, p1, doi 10.1111/ddi.12144"	-0.566	-0.0125	1	291	3124	200
25317	"boria ra, 2014, ecol model, v275, p73, doi 10.1016/j.ecolmodel.2013.12.012"	-0.5452	-0.1363	1	299	6411	354
26170	"boyce ms, 2002, ecol model, v157, p281, doi 10.1016/s0304-3800(02)00200-4"	-0.1491	0.4616	1	290	2864	149
26375	"bradie j, 2017, j biogeogr, v44, p1344, doi 10.1111/jbi.12894"	-0.9046	-0.2435	1	274	1940	127
26990	"breiman l, 2001, mach learn, v45, p5, doi 10.1023/a:1010933404324"	-0.2438	0.8543	2	296	5414	455
27039	"breiner ft, 2015, methods ecol evol, v6, p1210, doi 10.1111/2041-210x.12403"	-0.4427	0.5708	1	268	1475	84
27626	"broennimann o, 2007, ecol lett, v10, p701, doi 10.1111/j.1461-0248.2007.01060.x"	0.7721	-0.7548	4	273	2657	135
27627	"broennimann o, 2008, biol letters, v4, p585, doi 10.1098/rsbl.2008.0254"	0.7697	-0.6182	4	270	2046	101
27628	"broennimann o, 2012, global ecol biogeogr, v21, p481, doi 10.1111/j.1466-8238.2011.00698.x"	0.1093	-0.7627	4	290	2629	140
27848	"brotons l, 2004, ecography, v27, p437, doi 10.1111/j.0906-7590.2004.03764.x"	0.7654	0.6487	2	279	2423	133
28093	"brown jl, 2014, methods ecol evol, v5, p694, doi 10.1111/2041-210x.12200"	-0.4735	-0.6835	3	293	4629	308
28098	"brown jl, 2017, peerj, v5, doi 10.7717/peerj.4095"	-0.8922	-0.5708	3	277	2796	196
28945	"buisson l, 2010, global change biol, v16, p1145, doi 10.1111/j.1365-2486.2009.02000.x"	0.0692	0.4555	2	269	1620	88
29580	"busby j. r., 1991, plant protection quarterly, v6, p8"	0.7184	-0.0295	2	278	1936	101
32088	"carpenter g, 1993, biodivers conserv, v2, p667, doi 10.1007/bf00051966"	0.6695	0.1673	2	279	2250	127
34945	"chefaoui rm, 2008, ecol model, v210, p478, doi 10.1016/j.ecolmodel.2007.08.010"	0.5886	0.6817	2	253	1352	63
35184	"chen ic, 2011, science, v333, p1024, doi 10.1126/science.1206432"	-0.4805	-0.4228	3	292	3132	202
36468	"choi y, 2012, plos one, v7, doi 10.1371/journal.pone.0046688"	-0.8227	0.0852	1	254	1739	122
38059	"cobos me, 2019, peerj, v7, doi 10.7717/peerj.6281"	-0.8175	-0.6667	1	277	2792	195
38241	"cohen j, 1960, educ psychol meas, v20, p37, doi 10.1177/001316446002000104"	0.0276	0.7446	2	291	2545	159
40091	"costa gc, 2010, biodivers conserv, v19, p883, doi 10.1007/s10531-009-9746-8"	0.7176	-0.41	2	250	1236	67
41860	"cutler dr, 2007, ecology, v88, p2783, doi 10.1890/07-0539.1"	-0.0239	0.9821	2	278	2553	202
44304	"de marco p, 2018, plos one, v13, doi 10.1371/journal.pone.0202403"	-0.5946	0.1194	1	278	1869	108
46465	"di cola v, 2017, ecography, v40, p774, doi 10.1111/ecog.02671"	-0.5377	-0.3839	1	285	2474	133
47260	"diniz jaf, 2009, ecography, v32, p897, doi 10.1111/j.1600-0587.2009.06196.x"	0.3329	0.3824	2	246	1116	60
48372	"dormann cf, 2007, ecography, v30, p609, doi 10.1111/j.2007.0906-7590.05171.x"	0.7922	0.2663	2	268	1935	114
48382	"dormann cf, 2013, ecography, v36, p27, doi 10.1111/j.1600-0587.2012.07348.x"	-0.233	-0.0887	1	294	3753	221
50134	"dyderski mk, 2018, global change biol, v24, p1150, doi 10.1111/gcb.13925"	-0.995	-0.2885	3	232	1054	85
51545	"elith j, 2006, ecography, v29, p129, doi 10.1111/j.2006.0906-7590.04596.x"	0.4438	-0.0455	2	299	27961	1916
51547	"elith j, 2008, j anim ecol, v77, p802, doi 10.1111/j.1365-2656.2008.01390.x"	-0.1019	0.8432	2	295	3784	250
51548	"elith j, 2009, annu rev ecol evol s, v40, p677, doi 10.1146/annurev.ecolsys.110308.120159"	-0.0739	0.1723	1	299	18036	1194
51549	"elith j, 2009, ecography, v32, p66, doi 10.1111/j.1600-0587.2008.05505.x"	0.2799	0.5199	2	297	4768	268
51551	"elith j, 2010, methods ecol evol, v1, p330, doi 10.1111/j.2041-210x.2010.00036.x"	0.0039	-0.2776	4	299	11402	647
51552	"elith j, 2011, divers distrib, v17, p43, doi 10.1111/j.1472-4642.2010.00725.x"	-0.1209	-0.2871	3	299	25076	1759
52158	"engler r, 2004, j appl ecol, v41, p263, doi 10.1111/j.0021-8901.2004.00881.x"	0.8325	0.5281	2	286	2851	155
52722	"escobar le, 2014, geospatial health, v9, p221, doi 10.4081/gh.2014.19"	-0.6828	-0.8821	1	225	1167	88
53635	"evans js, 2011, predictive species and habitat modeling in landscape ecoloogy: concepts and applications, p139, doi 10.1007/978-1-4419-7390-0_8"	-0.3776	0.8314	1	249	1110	79
53815	"eyring v, 2016, geosci model dev, v9, p1937, doi 10.5194/gmd-9-1937-2016"	-1.0451	-0.2054	1	254	1332	88
55452	"feng x, 2019, ecol evol, v9, p10365, doi 10.1002/ece3.5555"	-0.9157	-0.1776	1	271	1856	117
56191	"ficetola gf, 2007, divers distrib, v13, p476, doi 10.1111/j.1472-4642.2007.00377.x"	1.0677	-0.4439	4	235	1161	72
56224	"fick se, 2017, int j climatol, v37, p4302, doi [10.1002/joc.5086 10.3390/mi14101827]"	-0.8117	-0.1829	1	298	11337	870
56287	"field cb, 2014, climate change 2014: impacts, adaptation, and vulnerability, pt a: global and sectoral aspects, p1"	-0.807	-0.3979	3	275	1991	135
56307	"fielding ah, 1997, environ conserv, v24, p38, doi 10.1017/s0376892997000088"	0.3621	0.183	2	299	14901	959
56861	"fithian w, 2015, methods ecol evol, v6, p424, doi 10.1111/2041-210x.12242"	-0.2203	0.8914	1	236	1115	58
56926	"fitzpatrick mc, 2007, global ecol biogeogr, v16, p24, doi 10.1111/j.1466-8238.2006.00258.x"	1.0802	-0.6972	4	207	1207	57
56929	"fitzpatrick mc, 2009, biodivers conserv, v18, p2255, doi 10.1007/s10531-009-9584-8"	0.4924	-0.2073	4	249	1151	58
57392	"fois m, 2018, ecol model, v385, p124, doi 10.1016/j.ecolmodel.2018.07.018"	-0.7774	-0.0799	3	258	1433	93
58110	"fourcade y, 2014, plos one, v9, doi 10.1371/journal.pone.0097122"	-0.3898	-0.0104	1	299	5853	331
58115	"fourcade y, 2018, global ecol biogeogr, v27, p245, doi 10.1111/geb.12684"	-0.7283	0.3635	1	279	1985	95
58507	"franklin j, 2013, divers distrib, v19, p1217, doi 10.1111/ddi.12125"	-0.594	-0.1555	1	270	1446	92
58518	"franklin j., 2009, mapping species dist"	0.795	0.1049	2	292	4130	243
58525	"franklin j., 2010, ecol biodivers cons, doi 10.1017/cbo9780511810602"	0.5179	0.3422	2	268	1582	103
58526	"franklin j., 2010, mapping species dist"	-0.6741	0.568	1	265	1381	85
58776	"freeman ea, 2008, ecol model, v217, p48, doi 10.1016/j.ecolmodel.2008.05.015"	0.4637	0.7184	2	240	1142	74
59086	"friedman jh, 1991, ann stat, v19, p1, doi 10.1214/aos/1176347963"	0.1775	0.9032	2	253	1406	84
59088	"friedman jh, 2001, ann stat, v29, p1189, doi [10.1021/acs.jmedchem.5b00104 10.1093/molbev/msy096]"	-0.192	0.873	2	265	1608	120
62907	"gent pr, 2011, j climate, v24, p4973, doi 10.1175/2011jcli4083.1"	-0.5436	-0.6265	3	254	1432	87
64221	"giovanelli jgr, 2010, ecol model, v221, p215, doi 10.1016/j.ecolmodel.2009.10.009"	0.6847	-0.2061	4	257	1091	59
66486	"graham ch, 2004, trends ecol evol, v19, p497, doi 10.1016/j.tree.2004.07.006"	0.9703	0.299	2	283	2196	124
66488	"graham ch, 2006, global ecol biogeogr, v15, p578, doi 10.1111/j.1466-8238.2006.00257.x"	1.0317	-0.0021	2	242	1213	80
66490	"graham ch, 2008, j appl ecol, v45, p239, doi 10.1111/j.1365-2664.2007.01408.x"	0.6875	0.2811	2	277	1954	115
66527	"graham mh, 2003, ecology, v84, p2809, doi 10.1890/02-3114"	-0.2525	-0.3241	3	259	1284	77
67217	"grenouillet g, 2011, ecography, v34, p9, doi 10.1111/j.1600-0587.2010.06152.x"	-0.0988	0.7579	2	261	1421	77
