"Author","Recs","LCS","GCS"
"Phillips SJ",4,6004,22269
"Anderson RP",14,5011,19037
"Schapire RE",2,3480,14361
"Elith J",12,3267,11445
"Peterson AT",38,1969,8715
"Dudík M",3,2559,8058
"Graham CH",8,2241,7247
"Yates CJ",3,1823,5777
"Chee YE",2,1763,5496
"Hastie T",1,1757,5479
"Thuiller W",9,280,4109
"Cutler DR",2,202,3916
"Edwards TC",2,202,3885
"Beard KH",1,202,3883
"Cutler A",1,202,3883
"Hess KT",1,202,3883
"Boria RA",7,1184,3721
"Kass JM",12,998,3336
"Hijmans RJ",5,932,3029
"Guisan A",10,869,3010
"Pearson RG",5,919,2926
"Muscarella R",4,861,2762
"Warren DL",5,929,2757
"Raxworthy CJ",2,860,2681
"Nakamura M",1,859,2673
"Ferrier S",2,790,2570
"Soley-Guardia M",4,805,2512
"Jiguet F",3,0,2478
"Lehmann A",3,767,2476
"Galante PJ",3,806,2472
"Albert CH",1,0,2430
"Barbet-Massin M",1,0,2430
"Leathwick J",1,767,2429
"Kearney M",2,656,2384
"Phillips S",1,646,2346
"Li J",14,699,2280
"Seifert SN",2,822,2211
"Hernandez PA",2,710,2181
"Wisz MS",2,713,2161
"Rödder D",29,228,2150
"Albert DL",1,645,1998
"Master LL",1,645,1998
"Brown JL",4,309,1861
"Uriarte M",1,617,1826
"Papes M",20,513,1701
"Kumar S",26,451,1688
"Luoto M",4,311,1544
"Heikkinen RK",4,310,1527
"Engler JO",10,109,1518
"Fourcade Y",5,117,1478
"Secondi J",4,120,1469
"Marmion M",2,308,1433
"VanDerWal J",11,333,1405
"Schröder B",5,16,1401
"Osorio-Olvera L",8,0,1397
"Goodman SM",5,376,1276
"Wilting A",10,6,1250
"Lahoz-Monfort JJ",6,65,1243
"Parviainen M",3,229,1236
"Olson LE",2,370,1222
"Hearn AJ",11,1,1217
"Macdonald DW",12,3,1195
"Guillera-Arroita G",7,65,1191
"Barve N",4,2,1185
"Ross J",8,1,1185
"Dyderski MK",12,113,1173
"Cheyne SM",7,1,1170
"Belant JL",9,15,1147
"Duckworth JW",2,0,1141
"Hofer H",2,0,1141
"Kramer-Schadt S",10,1,1132
"Jagodzinski AM",7,113,1109
"Cobos ME",6,0,1107
"Mathai J",8,2,1100
"Webber BL",5,152,1088
"Heckmann I",3,0,1073
"Niedballa J",3,0,1073
"Scharf AK",2,5,1072
"Stillfried M",3,0,1071
"Samejima H",6,1,1069
"Augeri DM",5,1,1068
"Bernard H",4,1,1064
"Alfred R",5,1,1063
"Lindenborn J",2,0,1063
"Marshall AJ",5,1,1063
"Reinfelder V",2,0,1063
"Pilgrim JD",2,1,1054
"Semiadi G",5,0,1052
"Eaton J",2,0,1039
"Breitenmoser-Wuersten C",1,0,1035
"Rustam R",1,0,1035
"de Marco P",15,58,1003
"Beaumont LJ",16,160,979
"Kumar L",15,166,958
"Bosso L",13,145,931
"Valavi R",6,71,911
"Baumgartner JB",13,130,807
"Kriticos DJ",2,102,807
"Ota N",2,102,807
"Scott JK",2,102,807
"Wintle BA",5,71,800
"Frelich LE",1,85,792
"Paz S",1,85,792
"Eaton M",1,258,791
"Shabani F",13,123,785
"Gilbert F",11,90,777
"Zhang L",21,45,770
"Shoo LP",2,223,760
"Kearney MR",3,85,747
"Bennett JR",3,0,736
"Graham C",1,220,732
"William SE",1,220,732
"Coomes DA",3,40,719
"Smith MJ",3,40,719
"Syfert MM",3,40,719
"Bohl CL",2,225,716
"French CM",1,0,706
"Liu CR",4,209,697
"Newell G",4,209,697
"White M",4,209,697
"Jarnevich CS",15,137,687
"Stohlgren TJ",11,217,682
"Lira-Noriega A",9,94,666
"Pinilla-Buitrago GE",5,188,649
"Bradley BA",6,88,631
"Leriche A",2,60,625
"Russo D",9,129,618
"Bathols J",1,60,613
"Macadam I",1,60,613
"Ficetola GF",11,110,609
"Di Febbraro M",13,67,603
"Svenning JC",8,36,597
"Olden JD",3,94,589
"Ahmadi M",9,102,569
"Nobis MP",3,116,568
"Beck J",2,80,560
"Feng L",9,0,554
"Böller M",1,80,551
"Erhardt A",1,80,551
"Schwanghart W",1,80,551
"Merow C",5,135,545
"Huettmann F",18,39,542
"Lötters S",12,97,539
"Maiorano L",6,104,538
"Radeloff VC",10,45,538
"Shcheglovitova M",1,226,534
"Breiner FT",3,106,529
"Martínez-Meyer E",13,11,529
"Pincebourde S",1,11,523
"Potter KA",1,11,523
"Wenger SJ",1,94,523
"Woods HA",1,11,523
"Sillero N",23,39,521
"Lobo JM",9,93,519
"Raes N",7,22,519
"Cushman SA",13,70,511
"Escobar LE",11,105,510
"Rissler LJ",4,51,509
"Bergamini A",2,101,504
"Cunze S",11,62,498
"Liu Y",25,7,497
"Kaky E",4,35,492
"Shaffer HB",5,172,469
"Besnard AG",2,115,468
"Apodaca JJ",2,50,464
"Liu B",4,132,464
"Fois M",7,154,459
"Reside AE",10,46,459
"Gardner B",2,73,456
"Ma J",8,77,452
"Bacchetta G",6,154,449
"Soberón J",4,0,445
"West AM",4,146,441
"Mi CR",8,16,438
"Bates AE",2,19,435
"Gallardo B",6,48,433
"Warton DI",2,120,432
"Davies AJ",7,92,430
"Fenu G",5,154,429
"Tingley R",4,54,427
"Aldridge DC",5,48,420
"Falconi M",2,0,420
"Barrett N",1,19,417
"Bird TJ",1,19,417
"Edgar GJ",1,19,417
"Frusher S",1,19,417
"Hill NA",1,19,417
"Krkosek M",1,19,417
"Lefcheck JS",1,19,417
"Pecl GT",1,19,417
"Stuart-Smith JF",1,19,417
"Stuart-Smith RD",1,19,417
"Thomson RJ",1,19,417
"Wang CJ",25,89,417
"Wotherspoon S",1,19,417
"Halvorsen R",7,131,415
"Jorgensen PM",2,53,415
"Wan JZ",24,84,412
"Smith TB",5,63,411
"Diniz JAF",7,50,409
"Chen B",10,0,406
"Hu WJ",10,0,405
"Porter WP",1,58,402
"Bussmann RW",6,132,399
"Schwartz MW",2,150,393
"Renner IW",3,111,389
"Lohmann LG",2,64,387
"Rowden AA",8,63,387
"Simoes M",2,76,385
"Cardillo M",2,77,384
"Qin AL",2,132,383
"Groen TA",5,26,378
"Leung B",2,134,378
"Nolan V",2,1,378
"Buermann W",4,63,375
"De Baets B",7,53,375
"Dunn RR",2,30,374
"Nóbrega CC",1,0,374
"Robertson MP",6,61,374
"Sanders NJ",2,30,374
"Alatawi A",1,0,371
"Fitzpatrick MC",2,30,371
"Padoa-Schioppa E",5,62,371
"Yesson C",7,83,369
"Miller PI",3,75,368
"Chandler RB",1,94,367
"Nichols JD",1,94,367
"Royle JA",1,94,367
"Yackulic C",1,94,367
"Dinnage R",1,76,366
"Glor RE",1,76,366
"Huron NA",1,76,366
"Iglesias TL",1,76,366
"Li Q",13,20,366
"Matzke NJ",1,76,366
"Piquet JC",1,76,366
"Turelli M",1,76,366
"Neven LG",5,68,364
"Anderson OF",6,63,363
"Yi YJ",2,136,361
"Loiselle BA",5,70,358
"Feng X",4,121,357
"Balslev H",4,0,356
"Seo CW",6,139,354
"Braunisch V",4,84,353
"Brummitt NA",3,40,353
"Bean WT",7,96,352
"Brashares JS",3,92,350
"Erwin S",1,139,349
"Nelson JK",1,139,349
"O'Brien JM",1,139,349
"Pandey R",2,121,349
"Reiss H",5,59,349
"Thorne J",1,139,349
"Williams JN",1,139,349
"Yu WW",5,0,349
"Picanço MC",13,26,348
"Zhang CL",10,13,348
"Cheung WWL",2,32,345
"Jones MC",2,32,345
"Ren YP",8,13,344
"Xu BD",8,13,344
"Xue Y",8,13,344
"Hughes L",8,42,342
"Liu ZH",5,3,342
"Wilson PD",6,56,342
"Mateo RG",4,50,341
"Bradie J",1,127,338
"Rebelo H",7,52,337
"Skidmore AK",7,53,337
"Srivastava V",5,98,337
"Wang F",8,61,337
"Liang Y",1,117,335
"Park DS",1,117,335
"Silman MR",2,24,335
"Barve V",2,0,334
"McNeill A",3,74,334
"Costa GC",3,69,333
"Pei SX",2,132,332
"Xiao JH",8,52,330
"Santini L",2,79,329
"Drake JM",4,59,328
"Rahmati O",3,5,328
"Gao X",9,52,326
"Guo QS",2,132,324
"Jian ZJ",1,132,324
"Ma FQ",1,132,324
"Xu GX",1,132,324
"Leishman MR",7,34,323
"Jetz W",6,19,321
"Lee WH",21,25,321
"Wang YY",7,7,320
"Kröncke I",4,59,319
"Mouton AM",4,35,319
"Wang HB",7,52,318
"Wang RL",10,31,317
"Polce C",4,10,316
"Contreras-Díaz RG",1,0,315
"Zhang SH",3,120,315
"Cao Y",8,58,312
"Brotons L",5,12,311
"Klimpel S",10,11,311
"Stafford R",2,92,308
"De Siqueira MF",7,92,307
"El-Gabbas A",9,26,307
"Evangelista PH",10,53,307
"Wright AN",2,115,307
"Benito BM",5,80,305
"Guo YM",4,0,305
"Aiello-Lammens ME",2,56,304
"Cheng X",1,120,304
"Yang ZF",1,120,304
"Zhu GP",7,10,304
"Kochmann J",9,11,303
"Vilela B",5,64,303
"Cengic M",2,61,301
"Huijbregts MAJ",2,61,301
"Zhu AX",4,13,301
"Midgley GF",2,66,298
"Muñoz J",8,54,298
"Zeng YW",3,119,296
"Li C",5,5,295
"Li M",12,33,295
"He Y",3,0,293
"Park YS",10,6,293
"Giovanelli JGR",3,92,292
"Haddad CFB",3,92,292
"Brown CS",2,107,290
"Du JG",6,0,289
"Esperón-Rodríguez M",5,49,289
"Alexandrino J",2,92,286
"Convertino M",5,29,285
"Yeo DCJ",2,119,285
"Brown KA",3,4,284
"Khanum R",2,103,284
"Mumtaz AS",2,103,284
"da Silva RS",19,13,283
"Georgian SE",5,44,283
"Randin C",1,56,283
"Reineking B",5,30,283
"Chen GC",4,0,282
"Oppel S",2,60,280
"Neumann H",3,59,279
"Chu-Agor ML",4,29,277
"Linkov I",4,29,277
"Pittman SJ",3,1,277
"Arslan ES",8,10,276
"Elsenbeer H",1,8,276
"Märker M",1,8,276
"Vorpahl P",1,8,276
"Ali H",5,0,275
"Saatchi S",2,52,275
"Herzog SK",2,65,274
"Tang XG",6,6,274
"Yuan YD",6,6,274
"De Marco P Jr",4,29,273
"Arlettaz R",3,67,272
"Biesmeijer JC",4,7,272
"Sequeira F",1,24,271
"Vallinoto M",1,24,271
"Lei GC",8,0,270
"Thomas SM",7,21,269
"Behera MD",12,48,268
"Medina-Vogel G",2,88,268
"Cristinzio G",3,76,266
"Ekesi S",8,16,266
"Hazen EL",4,24,264
"Hemami MR",7,27,264
"Blach-Overgaard A",2,18,263
"Carroll C",3,37,263
"Puchalka R",7,28,263
"Abdelaal M",2,90,262
"Franklin J",2,0,262
"Gaubert P",2,106,262
"Machado RB",5,70,262
"Beierkuhnlein C",6,17,261
"Dong P",6,0,261
"Gallagher RV",6,30,261
"Gurgel CFD",2,11,259
"Pourghasemi HR",9,18,259
"Louzao M",1,59,258
"Meirinho A",1,59,258
"O'Connell AF",1,59,258
"Ramírez I",1,59,258
"Blake JG",2,53,256
"Le Roux JJ",2,55,256
"Ma ZY",3,0,256
"Oppenheimer M",1,37,256
"Wilcove DS",1,37,256
"Zhang Y",12,0,256
"Benn DI",1,0,255
"Sevestre H",1,0,255
"Vignali S",2,67,255
"Ortega-Huerta MA",3,4,254
"Gotelli NJ",2,5,252
"Han XS",2,0,252
"Wen LJ",2,0,252
"Yee WL",3,28,251
"Benítez-López A",1,50,250
"Chen H",11,21,250
"Li MY",4,0,250
