Institution,Recs,LCS,GCS
Chinese Acad Sci,304,661,7096
Univ Nacl Autonoma Mexico,96,121,3043
Univ Florida,76,193,3075
Beijing Forestry Univ,67,91,1618
US Geol Survey,65,371,2661
Univ Kansas,59,2179,9941
US Forest Serv,53,312,2253
CSIC,51,207,1687
Nanjing Forestry Univ,51,17,1024
Colorado State Univ,47,498,2911
Univ Melbourne,47,3551,14111
Univ Porto,46,118,1225
Amer Museum Nat Hist,44,5969,22358
Univ Oxford,40,110,2159
James Cook Univ,39,411,2397
Russian Acad Sci,39,45,676
Univ Lisbon,39,49,783
Univ Queensland,39,158,1365
Univ Sao Paulo,39,46,986
Univ Helsinki,38,195,1372
Univ Calif Davis,37,1240,5382
Univ Minnesota,37,146,1558
Univ British Columbia,35,88,975
Univ Pretoria,34,81,975
Ain Shams Univ,33,30,504
Polish Acad Sci,33,150,1639
Univ Fed Goias,33,133,1645
Univ Ghent,33,120,953
Univ KwaZulu Natal,33,52,650
Macquarie Univ,32,204,1463
Oregon State Univ,32,66,1072
Texas A&M Univ,32,62,625
Isfahan Univ Technol,31,184,961
Islamic Azad Univ,31,37,418
Univ Illinois,31,119,736
CUNY,30,1590,5165
Beijing Normal Univ,29,170,876
Consejo Nacl Invest Cient & Tecn,29,50,463
Univ Bristol,29,205,1205
Univ Tehran,29,29,628
Aarhus Univ,28,117,1546
Ferdowsi Univ Mashhad,28,28,409
Chinese Acad Forestry,27,174,827
Oklahoma State Univ,27,166,818
Shahid Beheshti Univ,27,61,378
Univ Western Australia,27,205,1689
Fisheries & Oceans Canada,26,167,971
Inst Ecol AC,26,17,519
Univ Abomey Calavi,26,38,306
Univ Calif Berkeley,26,234,1665
Univ Montpellier,26,27,766
Chungnam Natl Univ,25,25,345
King Saud Univ,25,26,412
Minist Nat Resources,25,1,537
Natl Inst Ecol,25,10,248
US Fish & Wildlife Serv,25,71,647
Michigan State Univ,24,103,691
NOAA,24,52,941
Northeast Forestry Univ,24,30,298
Qinghai Univ,24,34,284
Tribhuvan Univ,24,12,307
Univ Calif Los Angeles,24,269,1211
Univ Copenhagen,24,81,865
Czech Univ Life Sci Prague,23,26,521
Swedish Univ Agr Sci,23,124,863
Univ Fed Vicosa,23,38,472
Univ Twente,23,85,987
Univ Wisconsin,23,127,1349
Univ Lausanne,22,913,3493
Univ Nottingham,22,106,1060
Zool Soc London,22,90,539
Addis Ababa Univ,21,14,196
Univ Adelaide,21,44,532
Univ Cambridge,21,97,1302
Univ Nacl Cordoba,21,28,304
Univ Oslo,21,151,966
Univ Tasmania,21,37,844
Wildlife Inst India,21,34,343
Chinese Acad Agr Sci,20,27,422
Seoul Natl Univ,20,26,243
Univ Brasilia,20,90,654
Yunnan Univ,20,7,273
Australian Natl Univ,19,227,1166
Inst Politecn Nacl,19,0,248
Sun Yat sen Univ,19,14,435
Univ Chile,19,12,305
Univ Massachusetts,19,76,692
Univ Washington,19,333,5187
Dalhousie Univ,18,17,345
Int Ctr Insect Physiol & Ecol ICIPE,18,18,301
Korea Univ,18,0,350
Murdoch Univ,18,27,340
Northwest A&F Univ,18,29,284
Ocean Univ China,18,13,489
Shanghai Ocean Univ,18,0,162
Texas Tech Univ,18,39,335
Univ Alaska Fairbanks,18,36,554
Univ Barcelona,18,40,413
Univ Georgia,18,26,310
Univ Guelph,18,64,405
Univ Tehran Med Sci,18,19,272
Univ Trier,18,184,1021
Univ Veracruzana,18,0,162
Univ Witwatersrand,18,16,311
CNR,17,117,743
Hacettepe Univ,17,3,138
Shanxi Agr Univ,17,38,480
Shiraz Univ,17,32,439
SUNY Stony Brook,17,2523,8293
Univ Alberta,17,56,444
Univ Fed Parana,17,47,578
Univ Plymouth,17,111,516
Univ Tennessee,17,172,796
USDA ARS,17,44,568
Wageningen Univ,17,32,610
Wageningen Univ & Res,17,6,247
Harvard Univ,16,153,960
Mississippi State Univ,16,20,1468
Nat Hist Museum,16,77,415
No Arizona Univ,16,7,467
Shaanxi Normal Univ,16,42,587
Univ Bayreuth,16,70,594
Univ Cordoba,16,7,344
Univ Fed Minas Gerais,16,36,348
Univ Leeds,16,87,1035
Univ Naples Federico II,16,97,646
Univ Ottawa,16,32,312
Univ Utrecht,16,30,437
Utah State Univ,16,228,4266
Xinjiang Univ,16,7,266
China West Normal Univ,15,26,279
Chinese Ctr Dis Control & Prevent,15,10,319
Cornell Univ,15,29,280
Isparta Univ Appl Sci,15,33,245
Nanjing Normal Univ,15,38,503
South China Agr Univ,15,23,176
Stanford Univ,15,1762,5729
Univ Cape Town,15,34,338
Univ Nacl Colombia,15,0,437
Univ Nevada,15,27,371
Univ New England,15,168,870
Univ Oviedo,15,8,238
Univ Zimbabwe,15,43,287
Czech Acad Sci,14,34,368
Flinders Univ S Australia,14,42,534
Hebei Univ,14,19,178
Louisiana State Univ,14,84,407
Natl Pk Serv,14,169,784
Rhodes Univ,14,15,198
Tarbiat Modares Univ,14,0,126
Univ Calif Santa Cruz,14,46,505
Univ Complutense Madrid,14,7,110
Univ Edinburgh,14,26,512
Univ Fed Rio Grande do Sul,14,4,212
Univ Grenoble Alpes,14,33,394
Univ Hamburg,14,33,455
Univ Hong Kong,14,22,486
Univ Maryland,14,28,579
Univ Molise,14,70,622
Wildlife Conservat Soc,14,35,278
Yale Univ,14,80,667
Bulgarian Acad Sci,13,7,92
Goethe Univ Frankfurt,13,45,414
Humboldt State Univ,13,62,607
Natl Univ Singapore,13,128,441
Nature Conservancy,13,51,270
North Carolina State Univ,13,45,594
Ohio State Univ,13,4,245
Peking Univ,13,25,213
