"Journal","Recs","LCS","GCS"
"ECOLOGICAL MODELLING",96,4866,21008
"DIVERSITY AND DISTRIBUTIONS",132,4053,16569
"METHODS IN ECOLOGY AND EVOLUTION",43,2425,12254
"PLOS ONE",159,0,7533
"JOURNAL OF BIOGEOGRAPHY",97,1455,6464
"ECOGRAPHY",53,1527,6002
"ECOLOGICAL APPLICATIONS",21,1562,5323
"ECOLOGY AND EVOLUTION",220,971,4986
"ECOLOGY",7,367,4673
"ECOLOGICAL INFORMATICS",125,578,4296
"GLOBAL CHANGE BIOLOGY",43,317,3740
"BIOLOGICAL CONSERVATION",71,538,3508
"GLOBAL ECOLOGY AND BIOGEOGRAPHY",36,432,3041
"PEERJ",54,0,2709
"SCIENCE OF THE TOTAL ENVIRONMENT",56,100,2367
"BIOLOGICAL INVASIONS",48,361,2157
"GLOBAL ECOLOGY AND CONSERVATION",108,172,2153
"SCIENTIFIC REPORTS",107,0,2060
"ECOLOGICAL INDICATORS",61,66,2046
"JOURNAL OF APPLIED ECOLOGY",30,252,1961
"FORESTS",94,0,1773
"BIODIVERSITY AND CONSERVATION",69,345,1757
"FOREST ECOLOGY AND MANAGEMENT",44,103,1260
"PARASITES & VECTORS",37,0,1204
"JOURNAL FOR NATURE CONSERVATION",62,174,1115
"ECOSPHERE",45,0,1079
"FRONTIERS IN MARINE SCIENCE",41,0,985
"MARINE ECOLOGY PROGRESS SERIES",28,150,878
"ECOLOGICAL ENGINEERING",10,255,822
"INSECTS",58,0,791
"REMOTE SENSING",38,0,751
"LANDSCAPE ECOLOGY",36,91,736
"ECOLOGICAL MONOGRAPHS",2,6,688
"FRONTIERS IN PLANT SCIENCE",42,0,657
"CONSERVATION BIOLOGY",18,22,638
"SUSTAINABILITY",48,0,630
"JOURNAL OF ENVIRONMENTAL MANAGEMENT",26,15,618
"GEOSPATIAL HEALTH",15,122,539
"ENVIRONMENTAL MODELLING & SOFTWARE",8,59,534
"PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA",6,44,491
"APPLIED GEOGRAPHY",10,73,490
"INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE",13,76,485
"PEST MANAGEMENT SCIENCE",20,106,484
"REGIONAL ENVIRONMENTAL CHANGE",17,9,472
"ENVIRONMENTAL MONITORING AND ASSESSMENT",48,0,469
"JOURNAL OF ANIMAL ECOLOGY",7,85,456
"REVISTA MEXICANA DE BIODIVERSIDAD",14,5,456
"ICES JOURNAL OF MARINE SCIENCE",9,34,449
"PLOS NEGLECTED TROPICAL DISEASES",16,0,447
"CONSERVATION LETTERS",2,58,426
"DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY",12,65,422
"JOURNAL OF MEDICAL ENTOMOLOGY",24,49,402
"SYSTEMATIC BIOLOGY",1,46,402
"FRONTIERS IN ECOLOGY AND EVOLUTION",35,0,397
"JOURNAL OF ARID ENVIRONMENTS",22,37,397
"DIVERSITY-BASEL",50,0,390
"AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS",30,49,379
"BIOLOGY-BASEL",34,0,379
"JOURNAL OF ECONOMIC ENTOMOLOGY",19,94,377
"ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY",6,119,374
"AUSTRAL ECOLOGY",19,69,364
"BIOMETRICS",1,111,356
"PLANTS-BASEL",44,0,355
"MEDICAL AND VETERINARY ENTOMOLOGY",13,38,320
"CATENA",4,2,317
"ACTA TROPICA",19,16,316
"FISHERIES RESEARCH",5,27,301
"MOLECULAR PHYLOGENETICS AND EVOLUTION",8,3,299
"HYDROBIOLOGIA",18,35,298
"OCEAN & COASTAL MANAGEMENT",11,40,293
"PREVENTIVE VETERINARY MEDICINE",9,18,284
"BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY",16,21,273
"ECOLOGICAL PROCESSES",15,0,268
"JOURNAL OF GLACIOLOGY",1,0,255
"ANIMALS",27,0,231
"INDUSTRIAL CROPS AND PRODUCTS",9,0,231
"NATUREZA & CONSERVACAO",6,46,231
"LAND",27,0,226
"INTERNATIONAL JOURNAL OF WILDLAND FIRE",3,0,220
"PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES",3,8,217
"SCIENCE ADVANCES",2,0,217
"FRESHWATER BIOLOGY",10,39,215
"DEEP-SEA RESEARCH PART I-OCEANOGRAPHIC RESEARCH PAPERS",12,29,211
"EUROPEAN JOURNAL OF WILDLIFE RESEARCH",11,3,211
"LANDSLIDES",1,0,210
"JOURNAL OF INTEGRATIVE AGRICULTURE",5,21,208
"JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA",1,0,206
"ENVIRONMENTAL CONSERVATION",9,31,204
"GLOBAL AND PLANETARY CHANGE",5,18,201
"COMPUTERS AND ELECTRONICS IN AGRICULTURE",6,47,199
"MOLECULAR ECOLOGY",5,22,198
"AFRICAN JOURNAL OF ECOLOGY",20,48,197
"AQUATIC INVASIONS",7,11,194
"JOURNAL OF FORESTRY RESEARCH",11,34,194
"ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH",10,51,193
"EUROPEAN JOURNAL OF PLANT PATHOLOGY",3,6,193
"NATURAL RESOURCES RESEARCH",2,9,191
"AMERICAN JOURNAL OF BOTANY",6,10,183
"HELIYON",12,0,182
"RISK ANALYSIS",1,66,182
"AMPHIBIA-REPTILIA",10,22,179
"ANIMAL CONSERVATION",8,29,176
"INTERNATIONAL JOURNAL OF HEALTH GEOGRAPHICS",6,0,174
"CURRENT SCIENCE",9,60,173
"JOURNAL OF INSECT SCIENCE",8,0,170
"TRANSBOUNDARY AND EMERGING DISEASES",11,16,169
"ENVIRONMENTAL MANAGEMENT",8,37,167
"FUNGAL ECOLOGY",4,46,161
"APPLIED VEGETATION SCIENCE",10,31,160
"HERPETOLOGICAL CONSERVATION AND BIOLOGY",9,41,159
"JOURNAL OF INSECT CONSERVATION",16,26,157
"VECTOR-BORNE AND ZOONOTIC DISEASES",6,25,157
"INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH",6,0,154
"JOURNAL OF VEGETATION SCIENCE",7,17,154
"EXPERT SYSTEMS WITH APPLICATIONS",2,11,151
"ESTUARINE COASTAL AND SHELF SCIENCE",10,7,150
"ISPRS INTERNATIONAL JOURNAL OF GEO-INFORMATION",7,8,150
"JOURNAL OF MACHINE LEARNING RESEARCH",1,35,150
"TROPICAL CONSERVATION SCIENCE",10,26,150
"ORYX",12,14,149
