 ,,,,,
Country,Articles,Articles %,SCP,MCP,MCP %
USA,895,17.1,648,247,27.6
CHINA,845,16.2,643,202,23.9
BRAZIL,257,4.9,177,80,31.1
INDIA,241,4.6,195,46,19.1
AUSTRALIA,226,4.3,146,80,35.4
UNITED KINGDOM,190,3.6,81,109,57.4
MEXICO,184,3.5,132,52,28.3
IRAN,179,3.4,113,66,36.9
GERMANY,174,3.3,89,85,48.9
SPAIN,171,3.3,92,79,46.2
ITALY,146,2.8,89,57,39
CANADA,140,2.7,89,51,36.4
KOREA,107,2,87,20,18.7
ARGENTINA,82,1.6,53,29,35.4
SOUTH AFRICA,80,1.5,52,28,35
JAPAN,71,1.4,46,25,35.2
FRANCE,69,1.3,32,37,53.6
PORTUGAL,69,1.3,26,43,62.3
POLAND,50,1,35,15,30
BELGIUM,42,0.8,13,29,69
EGYPT,41,0.8,16,25,61
RUSSIA,39,0.7,28,11,28.2
COLOMBIA,38,0.7,21,17,44.7
NETHERLANDS,38,0.7,10,28,73.7
ETHIOPIA,35,0.7,17,18,51.4
TURKEY,33,0.6,31,2,6.1
NEW ZEALAND,30,0.6,14,16,53.3
SWITZERLAND,30,0.6,9,21,70
FINLAND,28,0.5,15,13,46.4
INDONESIA,28,0.5,15,13,46.4
PAKISTAN,27,0.5,15,12,44.4
BENIN,26,0.5,12,14,53.8
NORWAY,25,0.5,15,10,40
CZECH REPUBLIC,24,0.5,8,16,66.7
KENYA,24,0.5,7,17,70.8
CHILE,23,0.4,9,14,60.9
DENMARK,23,0.4,12,11,47.8
ZIMBABWE,21,0.4,10,11,52.4
AUSTRIA,19,0.4,6,13,68.4
NEPAL,18,0.3,5,13,72.2
THAILAND,17,0.3,11,6,35.3
ANTIGUA,15,0.3,10,5,33.3
GREECE,15,0.3,9,6,40
VIETNAM,15,0.3,5,10,66.7
SWEDEN,14,0.3,6,8,57.1
IRELAND,13,0.2,9,4,30.8
MOROCCO,13,0.2,11,2,15.4
ECUADOR,12,0.2,4,8,66.7
NIGERIA,12,0.2,5,7,58.3
PERU,12,0.2,1,11,91.7
PHILIPPINES,12,0.2,6,6,50
SAUDI ARABIA,12,0.2,4,8,66.7
MALAYSIA,11,0.2,6,5,45.5
GHANA,10,0.2,2,8,80
TUNISIA,10,0.2,4,6,60
ISRAEL,9,0.2,7,2,22.2
HUNGARY,8,0.2,3,5,62.5
SINGAPORE,8,0.2,6,2,25
ALGERIA,7,0.1,5,2,28.6
BULGARIA,7,0.1,5,2,28.6
KAZAKHSTAN,6,0.1,2,4,66.7
QATAR,6,0.1,1,5,83.3
ROMANIA,6,0.1,3,3,50
SRI LANKA,6,0.1,3,3,50
U ARAB EMIRATES,6,0.1,2,4,66.7
CUBA,5,0.1,0,5,100
SLOVENIA,5,0.1,1,4,80
BANGLADESH,4,0.1,2,2,50
COSTA RICA,4,0.1,1,3,75
CROATIA,4,0.1,3,1,25
GEORGIA,4,0.1,0,4,100
IRAQ,4,0.1,2,2,50
TANZANIA,4,0.1,3,1,25
UKRAINE,4,0.1,1,3,75
VENEZUELA,4,0.1,2,2,50
ARMENIA,3,0.1,2,1,33.3
BURKINA FASO,3,0.1,1,2,66.7
CAMEROON,3,0.1,0,3,100
LEBANON,3,0.1,2,1,33.3
LITHUANIA,3,0.1,2,1,33.3
MALAWI,3,0.1,1,2,66.7
SENEGAL,3,0.1,0,3,100
SERBIA,3,0.1,1,2,66.7
SLOVAKIA,3,0.1,1,2,66.7
BHUTAN,2,0,1,1,50
CYPRUS,2,0,1,1,50
ICELAND,2,0,0,2,100
JORDAN,2,0,0,2,100
LATVIA,2,0,1,1,50
MADAGASCAR,2,0,0,2,100
MALTA,2,0,0,2,100
NAMIBIA,2,0,1,1,50
PARAGUAY,2,0,1,1,50
TOGO,2,0,0,2,100
UGANDA,2,0,0,2,100
BOLIVIA,1,0,0,1,100
CHAD,1,0,0,1,100
ESTONIA,1,0,1,0,0
GABON,1,0,1,0,0
GUATEMALA,1,0,1,0,0
HONDURAS,1,0,1,0,0
KUWAIT,1,0,0,1,100
LUXEMBOURG,1,0,0,1,100
MONGOLIA,1,0,0,1,100
MYANMAR,1,0,0,1,100
NIGER,1,0,1,0,0
PANAMA,1,0,0,1,100
SUDAN,1,0,0,1,100
SURINAME,1,0,1,0,0
SYRIA,1,0,1,0,0
UZBEKISTAN,1,0,1,0,0
ZAMBIA,1,0,0,1,100
