,Switzerland,United States,Australia,Denmark,Philippines,France,Italy,United Kingdom,Egypt,Greece,Mexico,Spain,Germany,Colombia,Belgium,Benin,Japan,Kenya,South Africa,"Tanzania, United Republic of",Argentina,Brazil,"Korea, Republic of",Finland,"Bolivia, Plurinational State of",Chile,Algeria,Portugal,Norway,New Zealand,Canada,Czechia,Madagascar,Poland,Netherlands,Austria,Peru,Slovakia,Ukraine,Indonesia,Malaysia,Saudi Arabia,India,Nepal,Sri Lanka,Singapore,China,Bangladesh,Libya,Morocco,Tunisia,Romania,Bermuda,Lithuania,Sweden,Cuba,Bulgaria,Iceland,Ecuador,Viet Nam,"Taiwan, Province of China",Croatia,Serbia,Slovenia,New Caledonia,Burkina Faso,Panama,Zimbabwe,Costa Rica,Uganda,French Guiana,Uruguay,Ethiopia,"Iran, Islamic Republic of",Senegal,Thailand,Cameroon,Pakistan,Ireland,Hungary,Belarus,Namibia,"Venezuela, Bolivarian Republic of",Jamaica,Lao People's Democratic Republic,Israel,Luxembourg,Yemen,Lebanon,Iraq,Bhutan,Bahrain,Mongolia,Nigeria,Guatemala,Ghana,Sierra Leone,Guyana,Sudan,Estonia,Eswatini,Zambia,Kuwait,Somalia,Malta,Montenegro,Paraguay,Malawi,Latvia,Niger,Togo,Mozambique,Honduras,Qatar,Uzbekistan,El Salvador,Kazakhstan,Cambodia,Myanmar,Rwanda,Botswana,"Moldova, Republic of",Georgia,Kyrgyzstan,Azerbaijan,Cyprus,Mali,Mauritius,Greenland,Chad,Oman,Haiti,Armenia,Gibraltar,Jordan,Gambia,Gabon,Maldives
United States,22.0,0.0,57.0,25.0,5.0,40.0,29.0,87.0,18.0,6.0,57.0,36.0,67.0,32.0,14.0,3.0,20.0,15.0,22.0,8.0,20.0,62.0,15.0,11.0,3.0,16.0,0.0,12.0,21.0,23.0,62.0,9.0,10.0,11.0,22.0,4.0,16.0,1.0,3.0,11.0,9.0,14.0,22.0,18.0,7.0,5.0,105.0,4.0,2.0,1.0,2.0,6.0,1.0,1.0,8.0,1.0,2.0,2.0,14.0,17.0,5.0,0.0,0.0,0.0,2.0,1.0,3.0,7.0,7.0,2.0,0.0,0.0,4.0,20.0,2.0,10.0,2.0,11.0,0.0,1.0,1.0,0.0,5.0,1.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,5.0,2.0,6.0,1.0,1.0,1.0,0.0,1.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
Australia,7.0,57.0,0.0,11.0,3.0,7.0,3.0,27.0,1.0,2.0,3.0,12.0,17.0,2.0,2.0,0.0,6.0,3.0,11.0,0.0,3.0,10.0,0.0,5.0,1.0,1.0,0.0,1.0,8.0,15.0,11.0,1.0,0.0,0.0,10.0,1.0,2.0,0.0,0.0,8.0,7.0,1.0,7.0,4.0,1.0,3.0,27.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,6.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,9.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Denmark,6.0,25.0,11.0,0.0,2.0,8.0,7.0,13.0,0.0,0.0,2.0,8.0,12.0,0.0,4.0,1.0,1.0,2.0,2.0,2.0,0.0,2.0,1.0,5.0,0.0,0.0,0.0,2.0,5.0,4.0,2.0,1.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,2.0,3.0,0.0,3.0,1.0,1.0,1.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Philippines,3.0,5.0,3.0,2.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
France,15.0,40.0,7.0,8.0,3.0,0.0,28.0,24.0,0.0,3.0,2.0,24.0,35.0,4.0,17.0,2.0,2.0,4.0,9.0,1.0,0.0,6.0,2.0,5.0,1.0,0.0,1.0,16.0,5.0,1.0,15.0,7.0,4.0,4.0,11.0,7.0,2.0,1.0,4.0,2.0,2.0,0.0,8.0,0.0,2.0,2.0,10.0,1.0,0.0,2.0,3.0,4.0,0.0,1.0,4.0,1.0,2.0,0.0,2.0,3.0,2.0,2.0,1.0,3.0,3.0,2.0,0.0,2.0,0.0,1.0,3.0,0.0,1.0,3.0,4.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Italy,7.0,29.0,3.0,7.0,1.0,28.0,0.0,33.0,2.0,6.0,0.0,22.0,24.0,1.0,14.0,0.0,2.0,4.0,3.0,0.0,1.0,0.0,2.0,7.0,0.0,0.0,2.0,14.0,6.0,0.0,11.0,8.0,1.0,7.0,11.0,6.0,4.0,3.0,2.0,2.0,3.0,3.0,4.0,1.0,1.0,1.0,4.0,1.0,0.0,1.0,3.0,2.0,0.0,2.0,5.0,0.0,3.0,0.0,0.0,3.0,0.0,4.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,3.0,1.0,5.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United Kingdom,18.0,87.0,27.0,13.0,1.0,24.0,33.0,0.0,5.0,5.0,5.0,34.0,34.0,8.0,11.0,1.0,6.0,8.0,14.0,3.0,3.0,22.0,1.0,5.0,3.0,7.0,0.0,25.0,15.0,10.0,19.0,8.0,5.0,4.0,19.0,3.0,6.0,0.0,2.0,10.0,11.0,8.0,10.0,6.0,5.0,2.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.0,6.0,5.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,8.0,6.0,0.0,5.0,2.0,4.0,7.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
"Bolivia, Plurinational State of",2.0,3.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colombia,3.0,32.0,2.0,0.0,0.0,4.0,1.0,8.0,0.0,0.0,17.0,2.0,3.0,0.0,2.0,0.0,1.0,2.0,0.0,2.0,2.0,9.0,0.0,0.0,3.0,4.0,0.0,0.0,1.0,0.0,6.0,3.0,1.0,0.0,6.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany,21.0,67.0,17.0,12.0,6.0,35.0,24.0,34.0,3.0,1.0,3.0,29.0,0.0,3.0,19.0,3.0,7.0,8.0,6.0,0.0,4.0,27.0,3.0,6.0,3.0,6.0,2.0,15.0,15.0,10.0,13.0,15.0,2.0,11.0,20.0,11.0,5.0,2.0,6.0,3.0,4.0,7.0,7.0,5.0,2.0,2.0,15.0,1.0,1.0,2.0,1.0,4.0,0.0,0.0,7.0,0.0,2.0,3.0,4.0,9.0,0.0,3.0,0.0,3.0,0.0,5.0,1.0,1.0,0.0,2.0,0.0,0.0,7.0,21.0,0.0,2.0,2.0,8.0,2.0,5.0,1.0,2.0,2.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
