Keyword,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
sdm,2,5,8,11,25,45,55,60,73,73,98,104,122,118,176,204,224,242,263,366,2274
maxent,1,4,11,23,28,43,70,73,87,97,110,117,121,135,166,200,204,180,174,230,2074
climate change,0,0,2,1,10,7,14,19,24,22,28,26,34,58,83,105,135,136,155,254,1113
enm,1,4,10,11,19,25,30,34,52,33,49,52,43,62,77,114,97,82,97,127,1019
habitat-suitability,0,0,0,1,0,7,1,4,8,8,15,16,12,17,19,30,37,45,53,108,381
conservacion,0,0,1,1,4,0,4,7,8,10,9,13,12,15,27,24,34,38,41,46,294
machine learning,0,1,0,1,0,7,1,4,8,2,1,5,10,8,19,28,26,32,37,55,245
random forest,0,1,1,1,2,7,3,7,7,10,5,14,14,13,16,19,30,22,31,37,240
habitat-suitability model,0,0,0,0,1,3,3,6,4,3,7,9,7,9,13,19,20,17,24,37,182
invasive species,0,0,0,0,6,4,6,4,3,8,12,6,12,11,11,10,20,17,10,17,157
maxent model,0,0,0,0,0,0,1,0,0,0,2,0,2,4,5,10,20,11,39,43,137
maximum entropy,1,1,1,0,1,5,5,1,7,1,7,5,8,12,5,11,10,15,10,15,121
distribucion,1,0,0,1,2,0,4,4,6,2,7,7,7,6,8,13,21,6,12,13,120
potential distribution,0,0,0,0,4,2,4,1,5,4,2,4,4,5,9,15,12,11,20,15,117
protected area,0,1,0,2,2,0,1,0,4,4,2,3,3,5,13,8,13,8,10,19,98
remote sensing,0,0,0,0,1,1,3,2,3,2,2,3,7,1,5,7,13,8,13,25,96
biogeography,0,0,0,0,0,2,2,8,1,6,5,7,4,4,7,11,5,6,10,13,91
biological invasion,0,0,1,2,2,4,0,1,3,4,3,3,7,7,6,6,11,8,12,11,91
conservation plan,0,0,0,1,3,3,4,4,1,2,3,3,4,10,8,7,6,7,5,18,89
biodiversity,0,0,0,0,0,0,4,3,6,1,3,2,1,1,7,10,2,6,10,18,74
environment variables,0,0,1,0,0,0,2,0,1,0,0,2,2,6,2,4,10,7,17,16,70
global warming,0,0,0,0,1,1,2,3,1,0,0,2,3,3,4,3,9,11,7,17,67
citizen science,0,0,0,0,0,0,1,0,0,1,1,4,6,5,4,9,8,6,7,15,67
climatic variables,0,0,0,1,0,3,0,1,0,0,0,2,1,3,7,2,8,9,10,16,63
endangered species,0,0,0,0,0,0,1,0,1,2,4,6,4,3,6,7,7,6,7,8,62
gis,0,0,0,0,0,1,4,1,3,3,7,4,6,5,4,5,0,3,5,5,56
